name,target,bodyPart,equipment
balance board,quads,upper legs,body weight
barbell bench front squat,quads,upper legs,barbell
barbell bench squat,quads,upper legs,barbell
barbell clean and press,quads,upper legs,barbell
barbell one leg squat,quads,upper legs,barbell
barbell overhead squat,quads,upper legs,barbell
barbell side split squat v. 2,quads,upper legs,barbell
barbell side split squat,quads,upper legs,barbell
barbell single leg split squat,quads,upper legs,barbell
barbell squat (on knees),quads,upper legs,barbell
