name,target,bodyPart,equipment
assisted prone hamstring,hamstrings,upper legs,assisted
barbell good morning,hamstrings,upper legs,barbell
barbell straight leg deadlift,hamstrings,upper legs,barbell
dumbbell lying femoral,hamstrings,upper legs,dumbbell
inverse leg curl (bench support),hamstrings,upper legs,body weight
kettlebell hang clean,hamstrings,upper legs,kettlebell
kick out sit,hamstrings,upper legs,body weight
lever kneeling leg curl,hamstrings,upper legs,leverage machine
lever lying leg curl,hamstrings,upper legs,leverage machine
lever seated leg curl,hamstrings,upper legs,leverage machine
