name,target,bodyPart,equipment
hyperextension (on bench),spine,back,body weight
hyperextension,spine,back,body weight
lever back extension,spine,back,leverage machine
weighted hyperextension (on stability ball),spine,back,weighted
band straight leg deadlift,spine,back,band
back extension on exercise ball,spine,back,stability ball
exercise ball back extension with arms extended,spine,back,stability ball
exercise ball back extension with hands behind head,spine,back,stability ball
exercise ball back extension with knees off ground,spine,back,stability ball
exercise ball back extension with rotation,spine,back,stability ball
